date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,result_IRM,qualification_mark,start_order,bib
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892022,ANRAKU Sorato,Person,JPN,Japan,1.0,69.0,POINTS,,,,20,1
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892024,NARASAKI Tomoa,Person,JPN,Japan,2.0,54.4,POINTS,,,,17,4
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544218,ROBERTS Toby,Person,GBR,Great Britain,3.0,54.1,POINTS,,,,19,2
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553677,AVEZOU Sam,Person,FRA,France,4.0,49.2,POINTS,,,,12,9
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1894103,ONDRA Adam,Person,CZE,Czechia,5.0,48.7,POINTS,,,,13,8
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1560677,SCHUBERT Jakob,Person,AUT,Austria,6.0,44.7,POINTS,,,,18,3
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1942760,Van DUYSEN Hannes,Person,BEL,Belgium,7.0,34.3,POINTS,,,,6,15
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544214,McARTHUR Hamish,Person,GBR,Great Britain,8.0,34.2,POINTS,,,,3,18
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553674,JENFT Paul,Person,FRA,France,9.0,34.1,POINTS,,,,9,12
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1931180,LEE Dohyun,Person,KOR,Korea,10.0,34.0,POINTS,,,,16,5
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950301,DUFFY Colin,Person,USA,United States,11.0,33.8,POINTS,,,,15,6
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1552087,FLOHE Yannick,Person,GER,Germany,12.0,29.7,POINTS,,,,11,10
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1913696,PAN Yufei,Person,CHN,China,13.0,29.0,POINTS,,,,5,16
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1963915,GINES LOPEZ Alberto,Person,ESP,Spain,14.0,28.7,POINTS,,,,8,13
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1552086,MEGOS Alexander,Person,GER,Germany,15.0,24.7,POINTS,,,,14,7
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1977704,LEHMANN Sascha,Person,SUI,Switzerland,16.0,24.0,POINTS,,,,10,11
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1981181,POTOCAR Luka,Person,SLO,Slovenia,17.0,19.6,POINTS,,,,4,17
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950303,GRUPPER Jesse,Person,USA,United States,18.0,18.9,POINTS,,,,7,14
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1898113,HARRISON Campbell,Person,AUS,Australia,19.0,9.4,POINTS,,,,2,19
2024-08-05T12:17:53+02:00,CLBMBLCOMB------------SFNL000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Boulder",Semifinal - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1968272,JANSE van RENSBURG Mel,Person,RSA,South Africa,19.0,9.4,POINTS,,,,1,20
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1963915,GINES LOPEZ Alberto,Person,ESP,Spain,1.0,72.0,POINTS,,,,8,13
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544218,ROBERTS Toby,Person,GBR,Great Britain,2.0,68.1,POINTS,,,,19,2
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1894103,ONDRA Adam,Person,CZE,Czechia,2.0,68.1,POINTS,,,,13,8
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892022,ANRAKU Sorato,Person,JPN,Japan,4.0,68.0,POINTS,,,,20,1
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553674,JENFT Paul,Person,FRA,France,5.0,57.0,POINTS,,,,9,12
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1560677,SCHUBERT Jakob,Person,AUT,Austria,6.0,54.1,POINTS,,,,18,3
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950301,DUFFY Colin,Person,USA,United States,6.0,54.1,POINTS,,,,15,6
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544214,McARTHUR Hamish,Person,GBR,Great Britain,8.0,45.1,POINTS,,,,3,18
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1552087,FLOHE Yannick,Person,GER,Germany,9.0,39.1,POINTS,,,,11,10
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1913696,PAN Yufei,Person,CHN,China,10.0,30.1,POINTS,,,,5,16
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1552086,MEGOS Alexander,Person,GER,Germany,11.0,24.0,POINTS,,,,14,7
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1981181,POTOCAR Luka,Person,SLO,Slovenia,11.0,24.0,POINTS,,,,4,17
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1898113,HARRISON Campbell,Person,AUS,Australia,13.0,14.0,POINTS,,,,2,19
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892024,NARASAKI Tomoa,Person,JPN,Japan,14.0,12.1,POINTS,,,,17,4
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553677,AVEZOU Sam,Person,FRA,France,14.0,12.1,POINTS,,,,12,9
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1977704,LEHMANN Sascha,Person,SUI,Switzerland,14.0,12.1,POINTS,,,,10,11
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1931180,LEE Dohyun,Person,KOR,Korea,17.0,12.0,POINTS,,,,16,5
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950303,GRUPPER Jesse,Person,USA,United States,17.0,12.0,POINTS,,,,7,14
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1942760,Van DUYSEN Hannes,Person,BEL,Belgium,17.0,12.0,POINTS,,,,6,15
2024-08-07T11:54:29+02:00,CLBMBLCOMB------------SFNL000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Semifinal Lead",Semifinal - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1968272,JANSE van RENSBURG Mel,Person,RSA,South Africa,20.0,7.1,POINTS,,,,1,20
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892022,ANRAKU Sorato,Person,JPN,Japan,1.0,69.3,POINTS,,,,8,1
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950301,DUFFY Colin,Person,USA,United States,2.0,68.3,POINTS,,,,2,6
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544218,ROBERTS Toby,Person,GBR,Great Britain,3.0,63.1,POINTS,,,,7,2
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544214,McARTHUR Hamish,Person,GBR,Great Britain,4.0,53.9,POINTS,,,,1,18
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1560677,SCHUBERT Jakob,Person,AUT,Austria,5.0,43.6,POINTS,,,,4,3
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553674,JENFT Paul,Person,FRA,France,6.0,24.4,POINTS,,,,3,12
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1894103,ONDRA Adam,Person,CZE,Czechia,7.0,24.1,POINTS,,,,6,8
2024-08-09T12:02:39+02:00,CLBMBLCOMB------------FNL-000100--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Boulder",Final - Boulder,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1963915,GINES LOPEZ Alberto,Person,ESP,Spain,7.0,24.1,POINTS,,,,5,13
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1560677,SCHUBERT Jakob,Person,AUT,Austria,1.0,96.0,POINTS,,,,4,3
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1894103,ONDRA Adam,Person,CZE,Czechia,1.0,96.0,POINTS,,,,6,8
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544218,ROBERTS Toby,Person,GBR,Great Britain,3.0,92.1,POINTS,,,,7,2
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1963915,GINES LOPEZ Alberto,Person,ESP,Spain,3.0,92.1,POINTS,,,,5,13
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1892022,ANRAKU Sorato,Person,JPN,Japan,5.0,76.1,POINTS,,,,8,1
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1544214,McARTHUR Hamish,Person,GBR,Great Britain,6.0,72.0,POINTS,,,,1,18
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950301,DUFFY Colin,Person,USA,United States,7.0,68.1,POINTS,,,,2,6
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL-000200--,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final Lead",Final - Lead,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1553674,JENFT Paul,Person,FRA,France,8.0,54.0,POINTS,,,,3,12
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1544218,ROBERTS Toby,Person,GBR,Great Britain,1.0,155.2,POINTS,,,,,2
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1892022,ANRAKU Sorato,Person,JPN,Japan,2.0,145.4,POINTS,,,,,1
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1560677,SCHUBERT Jakob,Person,AUT,Austria,3.0,139.6,POINTS,,,,,3
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1950301,DUFFY Colin,Person,USA,United States,4.0,136.4,POINTS,,,,,6
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1544214,McARTHUR Hamish,Person,GBR,Great Britain,5.0,125.9,POINTS,,,,,18
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1894103,ONDRA Adam,Person,CZE,Czechia,6.0,120.1,POINTS,,,,,8
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1963915,GINES LOPEZ Alberto,Person,ESP,Spain,7.0,116.2,POINTS,,,,,13
2024-08-09T13:30:05+02:00,CLBMBLCOMB------------FNL---------,CLBMBLCOMB,Men's Boulder & Lead,"Men's Boulder & Lead, Final",Final Results,M,Sport Climbing,CLB,,1553674,JENFT Paul,Person,FRA,France,8.0,78.4,POINTS,,,,,12
2024-08-06T13:34:30+02:00,CLBMSPEED-------------QUAL0001SD--,CLBMSPEED,Men's Speed,"Men's Speed, Qualification Seeding",Qualification - Seeding heats,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1940329,LEONARDO Veddriq,Person,INA,Indonesia,1.0,4.79,TIME,,,,12,2
2024-08-06T13:34:30+02:00,CLBMSPEED-------------QUAL0001SD--,CLBMSPEED,Men's Speed,"Men's Speed, Qualification Seeding",Qualification - Seeding heats,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1931573,MAIMURATOV Amir,Person,KAZ,Kazakhstan,2.0,4.89,TIME,,,,7,11
2024-08-06T13:34:30+02:00,CLBMSPEED-------------QUAL0001SD--,CLBMSPEED,Men's Speed,"Men's Speed, Qualification Seeding",Qualification - Seeding heats,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1950309,WATSON Sam,Person,USA,United States,3.0,4.91,TIME,,,,6,6
2024-08-06T13:34:30+02:00,CLBMSPEED-------------QUAL0001SD--,CLBMSPEED,Men's Speed,"Men's Speed, Qualification Seeding",Qualification - Seeding heats,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1922693,ZURLONI Matteo,Person,ITA,Italy,4.0,4.94,TIME,,,,3,5
2024-08-06T13:34:30+02:00,CLBMSPEED-------------QUAL0001SD--,CLBMSPEED,Men's Speed,"Men's Speed, Qualification Seeding",Qualification - Seeding heats,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1913699,WU Peng,Person,CHN,China,5.0,5.01,TIME,,,,11,1
2024-08-06T13:34:30+02:00,CLBMSPEED-------------QUAL0001SD--,CLBMSPEED,Men's Speed,"Men's Speed, Qualification Seeding",Qualification - Seeding heats,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1536207,ALIPOUR SHENAZANDIFARD Reza,Person,IRI,IR Iran,6.0,5.06,TIME,,,,14,10
2024-08-06T13:34:30+02:00,CLBMSPEED-------------QUAL0001SD--,CLBMSPEED,Men's Speed,"Men's Speed, Qualification Seeding",Qualification - Seeding heats,M,Sport Climbing,CLB,Le Bourget Climbing Venue,1556056,TKACH Yaroslav,Person,UKR,Ukraine,7.0,5.11,TIME,,,,13,9
