code,current,name,gender,function,category,organisation_code,organisation,organisation_long,disciplines,birth_date
1536406,True,FRATINI Elisabetta,Female,Referee,J,ITA,Italy,Italy,['Judo'],
1550583,True,ILIC Corina,Female,Referee,J,CRO,Croatia,Croatia,['Judo'],
1550593,True,MAAFI Ziad,Male,Referee,J,ALG,Algeria,Algeria,['Judo'],
1550642,True,FUMEA Maria,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550643,True,LEUNG Li Li,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550645,True,MIAO Zhongyi,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550646,True,VALENZO AOKI Naomi Chieko,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550647,True,AL HITMI Ali,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550648,True,AL TABBAA Mouhammed Youssef,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550649,True,CELEN Suat,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550650,True,ESAWY Ehab,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550651,True,YAGI KITAGAWA Tammy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550652,True,VALERIO Rogerio,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550653,True,MOWBRAY Denis,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550654,True,PEGAN Aljaz,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550655,True,PENICHE FRANCO Alejandro,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550656,True,PERRIERE Charles,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550657,True,TAEYMANS Rosy,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1550662,True,ACOSTA RODRIGUEZ Laura Patricia,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],1964-11-17
1550672,True,BEDOSHVILI Eliso,Female,Judge,J,GEO,Georgia,Georgia,['Rhythmic Gymnastics'],
1550674,True,BOJAKOWSKI Konrad,Male,Judge,J,POL,Poland,Poland,['Trampoline Gymnastics'],
1550675,True,BOUROVA Roumiana,Female,Judge,J,BEL,Belgium,Belgium,['Rhythmic Gymnastics'],
1550689,True,DEUTSCH LAZSANYI Erika,Female,Judge,J,HUN,Hungary,Hungary,['Rhythmic Gymnastics'],
1550693,True,FILIPSKY Rebecca,Female,Judge,J,AUT,Austria,Austria,['Trampoline Gymnastics'],
1550694,True,GAIDA Viola,Female,Judge,J,GER,Germany,Germany,['Trampoline Gymnastics'],
1550695,True,OLIVEIRA Joao,Male,Judge,J,POR,Portugal,Portugal,['Trampoline Gymnastics'],
1550700,True,HALMU Delia,Female,Judge,J,AUS,Australia,Australia,['Rhythmic Gymnastics'],
1550707,True,JONES Andrew,Male,Judge,J,GBR,Great Britain,Great Britain,['Trampoline Gymnastics'],
1550709,True,KHOPERIA Rusudan,Female,Judge,J,GEO,Georgia,Georgia,['Trampoline Gymnastics'],
1550715,True,LHER Catherine Marie Andree,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],
1550723,True,MLEJNKOVA Blanka,Female,Judge,J,CZE,Czechia,Czechia,['Rhythmic Gymnastics'],
1550724,True,MROZINSKA Anna,Female,Judge,J,POL,Poland,Poland,['Rhythmic Gymnastics'],
1550725,True,NAVA ACEVES Paulina,Female,Judge,J,MEX,Mexico,Mexico,['Trampoline Gymnastics'],
1550729,True,PAZOS SANCHEZ RUBIO Maria Inmacula.,Female,Judge,J,ESP,Spain,Spain,['Trampoline Gymnastics'],
1550730,True,PITKANEN Saila,Female,Judge,J,FIN,Finland,Finland,['Rhythmic Gymnastics'],
1550736,True,REHOROVA Martina,Female,Judge,J,CZE,Czechia,Czechia,['Trampoline Gymnastics'],
1550753,True,SUZUKI Aoi,Female,Judge,J,JPN,Japan,Japan,['Rhythmic Gymnastics'],
1550762,True,van WETERING Babette,Female,Judge,J,NED,Netherlands,Netherlands,['Trampoline Gymnastics'],
1550763,True,VANGELOVA Mariya,Female,Judge,J,BUL,Bulgaria,Bulgaria,['Trampoline Gymnastics'],
1550776,True,BEKTUROVA Alua,Female,Judge,J,KAZ,Kazakhstan,Kazakhstan,['Rhythmic Gymnastics'],
1557225,True,STROOBANTS Marine,Female,Referee,J,BEL,Belgium,Belgium,['Judo'],
1560199,True,FISCHER Matthias,Male,Referee,J,GER,Germany,Germany,['Judo'],
1560200,True,LAMPE Nusa,Female,Referee,J,SLO,Slovenia,Slovenia,['Judo'],
1560201,True,CHYURLIA Pasquale,Male,Referee,J,ITA,Italy,Italy,['Judo'],
1560211,True,FREITAS Leandra,Female,Referee,J,POR,Portugal,Portugal,['Judo'],
1562036,True,SHMAKOV Vladimir,Male,Referee,J,UZB,Uzbekistan,Uzbekistan,['Judo'],
1562711,True,MIGLIORINI Sergio,Male,Medical Delegate,J,ITA,Italy,Italy,['Triathlon'],
1563015,True,BOUHEDDOU Mohamed,Male,Referee,J,FRA,France,France,['Judo'],
1563830,True,SZOKE Andor,Male,Referee,J,HUN,Hungary,Hungary,['Judo'],
1563872,True,GALEA Louisa,Female,Referee,J,MLT,Malta,Malta,['Judo'],
1563891,True,BILIC Miroslav,Male,Referee,J,SLO,Slovenia,Slovenia,['Judo'],
1563909,True,DELIU Denisa,Female,Referee,J,ROU,Romania,Romania,['Judo'],
1563980,True,BEREGSZASZI Zita,Female,Referee,J,HUN,Hungary,Hungary,['Judo'],
1564197,True,SANCHEZ del CAMPO Ana,Female,Jury Chair,J,WS,World Sailing,World Sailing,['Sailing'],
1564543,True,WU Jingyu,Female,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1564544,True,MAGABLEH Maher,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1564548,True,KIM Song Chul,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1566303,True,ANDERSEN Jacob,Male,Jury Member,J,DEN,Denmark,Denmark,['Sailing'],
1566308,True,FERRANDIZ RUIZ Luis,Male,Jury Member,J,ESP,Spain,Spain,['Sailing'],
1566313,True,NAPIER Jon,Male,Jury Member,J,GBR,Great Britain,Great Britain,['Sailing'],
1566318,True,HEREDIA Gonzalo,Male,Jury Member,J,ARG,Argentina,Argentina,['Sailing'],
1566319,True,YOVKOVA Iskra,Female,Jury Member,J,BUL,Bulgaria,Bulgaria,['Sailing'],
1566455,True,BOROCZ Bence,Male,Jury Member,J,HUN,Hungary,Hungary,['Sailing'],
1566468,True,JEONG Sungchul,Male,Jury Member,J,KOR,Korea,Republic of Korea,['Sailing'],
1566473,True,GROSVENOR Sandy,Female,Jury Member,J,USA,United States,United States of America,['Sailing'],
1566474,True,GUERRA Rodrigo,Male,Jury Member,J,URU,Uruguay,Uruguay,['Sailing'],
1566475,True,LEWANDOWSKA Anastazja,Female,Jury Member,J,POL,Poland,Poland,['Sailing'],
1566476,True,LINDSAY Chris,Male,Jury Member,J,IRL,Ireland,Ireland,['Sailing'],
1566480,True,MOOKKEN Selvam,Male,Jury Member,J,SGP,Singapore,Singapore,['Sailing'],
1566482,True,ORTENDAHL Christina,Female,Jury Member,J,SWE,Sweden,Sweden,['Sailing'],
1566488,True,SCOTT Luke,Male,Jury Member,J,RSA,South Africa,South Africa,['Sailing'],
1566489,True,STANIKIC Mina,Female,Jury Member,J,SRB,Serbia,Serbia,['Sailing'],
1570413,True,D'URBANO Francesco Jacopo,Male,Judge,J,WSK,World Skate,World Skate,['Skateboarding'],
1571122,True,ALSHATHRI A Rahman,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1571123,True,KIM Nellia,Female,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1571124,True,TITOV Vasilii,Male,Judge,J,FIG,FIG,International Gymnastics Federation,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']",
1571143,True,ALIPRANDI Elena,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],1975-04-09
1571146,True,DRAGAS Spela,Female,Judge,J,SLO,Slovenia,Slovenia,['Rhythmic Gymnastics'],
1571149,True,IEROMINA Nataliia,Female,Judge,J,UKR,Ukraine,Ukraine,['Rhythmic Gymnastics'],
1893012,True,CHIARI Roberto,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893016,True,THOMSON Mike,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893040,True,DUPUCHE Crystal,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893057,True,VAQUERA Alejandro,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893105,True,SHAFAGHI Shahrad,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893111,True,KAUPPINEN Hannu,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1893239,True,CASTRO Antonio,Male,Referee,J,CUB,Cuba,Cuba,['Judo'],
1893241,True,MURADOV Abdullo,Male,Referee,J,UZB,Uzbekistan,Uzbekistan,['Judo'],
1894925,True,AMANTINO Giseli,Female,Referee,J,BRA,Brazil,Brazil,['Beach Volleyball'],
1894929,True,BOCK Stephen,Male,Referee,J,FIVB,FIVB,International Volleyball Federation,['Volleyball'],
1894942,True,CARVALHO Rui Jorge,Male,Referee,J,POR,Portugal,Portugal,['Beach Volleyball'],
1894943,True,HIEBERT Brian,Male,Referee,J,CAN,Canada,Canada,['Beach Volleyball'],
1894944,True,RENE Karina,Female,Referee,J,ARG,Argentina,Argentina,['Volleyball'],
1894975,True,CRESCENTINI Davide,Male,Referee,J,ITA,Italy,Italy,['Beach Volleyball'],
1894976,True,SIMONOVIC Vladimir,Male,Referee,J,SUI,Switzerland,Switzerland,['Volleyball'],
1894978,True,WANG Lijun,Female,Referee,J,CHN,China,People's Republic of China,['Beach Volleyball'],
1894979,True,BEATIE Brigham,Male,Referee,J,USA,United States,United States of America,['Beach Volleyball'],
1895002,True,SATOMI Mariko,Female,Referee,J,JPN,Japan,Japan,['Beach Volleyball'],
1895006,True,SAAVEDRA CACERES Juan Carlos,Male,Referee,J,COL,Colombia,Colombia,['Beach Volleyball'],
1895007,True,OZBAR Nurper,Female,Referee,J,TUR,Türkiye,Türkiye,['Volleyball'],
1895009,True,IVANOV Ivaylo,Male,Referee,J,BUL,Bulgaria,Bulgaria,['Volleyball'],
1895011,True,DRUART Sylvain,Male,Referee,J,FRA,France,France,['Beach Volleyball'],
1895012,True,MYSZKOWSKA Agnieszka,Female,Referee,J,POL,Poland,Poland,['Beach Volleyball'],
1895013,True,PAPADOGOULAS Charalampos,Male,Referee,J,GRE,Greece,Greece,['Beach Volleyball'],
1895017,True,CESARE Stefano,Male,Referee,J,ITA,Italy,Italy,['Volleyball'],
1895018,True,LEKO Robert,Male,Referee,J,SRB,Serbia,Serbia,['Beach Volleyball'],
1895019,True,GUILLEMETTE Lucie,Female,Challenge Referee,J,CAN,Canada,Canada,['Beach Volleyball'],
1895020,True,GRASS Angela,Female,Referee,J,BRA,Brazil,Brazil,['Volleyball'],
1895021,True,KANDIL Wael,Male,Referee,J,EGY,Egypt,Egypt,['Volleyball'],
1895022,True,BENNETT John,Male,Challenge Referee,J,AUS,Australia,Australia,['Beach Volleyball'],
1895023,True,MOKRY Juraj,Male,Referee,J,SVK,Slovakia,Slovakia,['Volleyball'],
1895025,True,COLLADOS Fabrice,Male,Referee,J,FRA,France,France,['Volleyball'],
1895026,True,RAPISARDA Daniele,Male,Challenge Referee,J,ITA,Italy,Italy,['Volleyball'],
1895027,True,BOUDAYA Taoufik,Male,Challenge Referee,J,TUN,Tunisia,Tunisia,['Volleyball'],
1895028,True,ALROUSI ALHAMMADI Hamid Mohamed Ah.,Male,Referee,J,UAE,UA Emirates,United Arab Emirates,['Volleyball'],
1895031,True,GEROTHODOROS Epaminondas,Male,Referee,J,GRE,Greece,Greece,['Volleyball'],
1895034,True,SUMAVIL Osvaldo,Male,Referee,J,ARG,Argentina,Argentina,['Beach Volleyball'],
1895035,True,BRONISZ Robert,Male,Challenge Referee,J,POL,Poland,Poland,['Beach Volleyball'],
1895037,True,CESPEDES Denny,Male,Referee,J,DOM,Dominican Republic,Dominican Republic,['Volleyball'],
1895038,True,DZIEWIRZ Scott,Male,Referee,J,CAN,Canada,Canada,['Volleyball'],
1895040,True,PADRON Jose Maria,Male,Referee,J,ESP,Spain,Spain,['Beach Volleyball'],
1895042,True,MAROSZEK Wojciech,Male,Referee,J,POL,Poland,Poland,['Volleyball'],
1895047,True,MYOI Sumie,Female,Referee,J,JPN,Japan,Japan,['Volleyball'],
1895048,True,MUKUNDIYUKURI Jean de Dieu,Male,Referee,J,RWA,Rwanda,Rwanda,['Beach Volleyball'],
1897318,True,CSOSZ Imre,Male,Referee,J,HUN,Hungary,Hungary,['Judo'],
1898273,True,HUNT Patrick,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898633,True,AL SHUWAILI Ahmed,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898640,True,ANAYA Julio,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898648,True,BAKI Kerem,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898669,True,BARTEL Andres,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898675,True,BATISTA Johnny,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898693,True,BEKER Scott,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898701,True,BERMUDEZ Omar,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898712,True,BONNER Amy,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898728,True,BURNS Blanca,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898782,True,CASTILLO Luis,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898799,True,CHUECA Ariadna,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1898911,True,CONDE Antonio,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1899120,True,SUTHERLAND Jamie,Male,Jury Member,J,NZL,New Zealand,New Zealand,['Sailing'],
1899125,True,TANAKA Masaaki,Male,Jury Member,J,JPN,Japan,Japan,['Sailing'],
1899135,True,WILMINK E V den BURGER Pauline,Female,Jury Member,J,NED,Netherlands,Netherlands,['Sailing'],
1906878,True,SMAK Wouter,Male,Judge,J,UCI,UCI,Union Cycliste Internationale,['Cycling BMX Freestyle'],
1916068,True,MORARD Tristan,Male,Referee,J,SUI,Switzerland,Switzerland,['Wrestling'],
1916391,True,VILLET Charles,Male,Referee,J,RSA,South Africa,South Africa,['Wrestling'],
1916453,True,BARGAILA Deividas,Male,Referee,J,LTU,Lithuania,Lithuania,['Wrestling'],
1916503,True,VEYRAT Emmanuel,Male,Referee,J,FRA,France,France,['Wrestling'],
1916629,True,BOUAZIZ Youssef,Male,Referee,J,TUN,Tunisia,Tunisia,['Wrestling'],
1916804,True,MENKOVAS Kirilas,Male,Referee,J,LTU,Lithuania,Lithuania,['Wrestling'],
1916826,True,NEDELJKOVIC Leonardo,Male,Referee,J,SRB,Serbia,Serbia,['Wrestling'],
1916838,True,BORJANOVIC Borislav,Male,Referee,J,SRB,Serbia,Serbia,['Wrestling'],
1920697,True,CHIASSON Marcia,Female,Referee,J,CAN,Canada,Canada,['Wrestling'],
1920703,True,KOUTSOPODIOTIS Demetra,Female,Referee,J,CAN,Canada,Canada,['Wrestling'],
1920739,True,SUN Jian,Male,Referee,J,CHN,China,People's Republic of China,['Wrestling'],
1920745,True,OCIC Zvonko,Male,Referee,J,CRO,Croatia,Croatia,['Wrestling'],
1921064,True,SCHEINER Vaclav,Male,Referee,J,CZE,Czechia,Czechia,['Wrestling'],
1921117,True,HIETALA Joonas,Male,Referee,J,FIN,Finland,Finland,['Wrestling'],
1921173,True,TRAN Melanie,Female,Referee,J,FRA,France,France,['Wrestling'],
1922135,True,JIBLADZE Zaza,Male,Referee,J,GEO,Georgia,Georgia,['Wrestling'],
1922182,True,SCHERER Ramona,Female,Referee,J,GER,Germany,Germany,['Wrestling'],
1922183,True,DAHRA Amel,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922369,True,DAVIDSON Yann,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922392,True,SCHMITT Karl Peter,Male,Referee,J,GER,Germany,Germany,['Wrestling'],
1922396,True,FERNANDEZ Juan,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922427,True,GEORGIOU Pavlina,Female,Referee,J,GRE,Greece,Greece,['Wrestling'],
1922432,True,FORSBERG Maj,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922550,True,GYORGYI Viola,Female,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922553,True,LIAKOS Christos,Male,Referee,J,GRE,Greece,Greece,['Wrestling'],
1922569,True,KALLIO Matthew,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922570,True,SLEISZ Gabriella,Female,Referee,J,HUN,Hungary,Hungary,['Wrestling'],
1922591,True,KATO Takaki,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922614,True,KOZLOVSKIS Martins,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1922689,True,KREJIC Boris,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1923016,True,LEE Jiwoo,Female,Referee,J,KOR,Korea,Republic of Korea,['Wrestling'],
1927242,True,WARWICK Richard Jaydes,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
1928960,True,LISZKA Wojciech,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1929700,True,TOOLEY Jim,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1929719,True,BRENSCHEIDT Wolfgang,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1929775,True,BARTLETT Michael,Male,Jury Member,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
1932965,True,CAMACHO IBARRA Juan Arturo,Male,Referee,J,MEX,Mexico,Mexico,['Wrestling'],
1933080,True,ABDOELAEV Edmar,Male,Referee,J,NED,Netherlands,Netherlands,['Wrestling'],
1933098,True,HAMMER Thomas,Male,Referee,J,NOR,Norway,Norway,['Wrestling'],
1933258,True,GALVA LEBRON Rafael Abraham,Male,Referee,J,PUR,Puerto Rico,Puerto Rico,['Wrestling'],
1933271,True,CIMPOERU Marius,Male,Referee,J,ROU,Romania,Romania,['Wrestling'],
1933310,True,TORBICA Nikola,Male,Referee,J,SRB,Serbia,Serbia,['Wrestling'],
1933349,True,SJOSTROM Linn,Female,Referee,J,SWE,Sweden,Sweden,['Wrestling'],
1933383,True,SHADGAN Babak,Male,Referee,J,CAN,Canada,Canada,['Wrestling'],
1933394,True,GARCIA Carlos,Male,Referee,J,ESP,Spain,Spain,['Wrestling'],
1933402,True,SILVESTRI Antonio,Male,Referee,J,GER,Germany,Germany,['Wrestling'],
1933411,True,KOIKE Kuninori,Male,Referee,J,JPN,Japan,Japan,['Wrestling'],
1934331,True,KARAS Martin,Male,Judge,J,CZE,Czechia,Czechia,['Skateboarding'],
1934350,True,IWAKATA Rieko,Female,Judge,J,JPN,Japan,Japan,['Skateboarding'],
1934369,True,SANCHEZ Natalia,Female,Judge,J,WSK,World Skate,World Skate,['Skateboarding'],
1934479,True,PICCOLO Ilaria,Female,Judge,J,WSK,World Skate,World Skate,['Skateboarding'],
1934504,True,SCHRODER Laura,Female,Judge,J,GER,Germany,Germany,['Skateboarding'],
1937668,True,KONSTANTINOU Loukas,Male,Referee,J,GRE,Greece,Greece,['Wrestling'],
