date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,start_order
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CHN01,People's Republic of China,Team,CHN,China,1.0,276.7867,POINTS,,,18
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---AUT01,Austria,Team,AUT,Austria,2.0,267.2533,POINTS,,9.5334,9
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---NED01,Netherlands,Team,NED,Netherlands,3.0,264.7066,POINTS,,12.0801,15
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GBR01,Great Britain,Team,GBR,Great Britain,4.0,264.0282,POINTS,,12.7585,17
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---UKR01,Ukraine,Team,UKR,Ukraine,5.0,260.4600,POINTS,,16.3267,10
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---JPN01,Japan,Team,JPN,Japan,6.0,257.3533,POINTS,,19.4334,7
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ESP01,Spain,Team,ESP,Spain,7.0,254.0816,POINTS,,22.7051,16
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GRE01,Greece,Team,GRE,Greece,8.0,250.4584,POINTS,,26.3283,11
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ISR01,Israel,Team,ISR,Israel,9.0,243.0666,POINTS,,33.7201,14
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---FRA01,France,Team,FRA,France,10.0,241.3116,POINTS,,35.4751,1
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---MEX01,Mexico,Team,MEX,Mexico,11.0,238.9383,POINTS,,37.8484,8
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---USA01,United States of America,Team,USA,United States,12.0,230.7134,POINTS,,46.0733,4
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---KOR01,Republic of Korea,Team,KOR,Korea,13.0,227.5667,POINTS,,49.2200,5
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---AUS01,Australia,Team,AUS,Australia,14.0,210.0782,POINTS,,66.7085,6
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CAN01,Canada,Team,CAN,Canada,15.0,201.5167,POINTS,,75.2700,12
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---EGY01,Egypt,Team,EGY,Egypt,16.0,196.5250,POINTS,,80.2617,3
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---NZL01,New Zealand,Team,NZL,New Zealand,17.0,188.0901,POINTS,,88.6966,2
2024-08-09T22:54:54+02:00,SWAWTEAM2-------------FNL-000200--,SWAWTEAM2,Duet,Duet Technical Routine,Technical Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ITA01,Italy,Team,ITA,Italy,,,IRM,DNS,,13
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GBR01,Great Britain,Team,GBR,Great Britain,1.0,294.5085,POINTS,,,15
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---NED01,Netherlands,Team,NED,Netherlands,2.0,293.6897,POINTS,,0.8188,16
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CAN01,Canada,Team,CAN,Canada,3.0,290.9103,POINTS,,3.5982,14
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---CHN01,People's Republic of China,Team,CHN,China,4.0,289.6916,POINTS,,4.8169,17
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---AUT01,Austria,Team,AUT,Austria,5.0,288.4145,POINTS,,6.0940,12
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---GRE01,Greece,Team,GRE,Greece,6.0,281.8418,POINTS,,12.6667,11
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---UKR01,Ukraine,Team,UKR,Ukraine,7.0,278.2084,POINTS,,16.3001,10
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ESP01,Spain,Team,ESP,Spain,8.0,267.4021,POINTS,,27.1064,13
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---USA01,United States of America,Team,USA,United States,9.0,254.0354,POINTS,,40.4731,5
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---JPN01,Japan,Team,JPN,Japan,10.0,249.7271,POINTS,,44.7814,8
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---ISR01,Israel,Team,ISR,Israel,11.0,239.3416,POINTS,,55.1669,9
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---MEX01,Mexico,Team,MEX,Mexico,12.0,232.6563,POINTS,,61.8522,6
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---KOR01,Republic of Korea,Team,KOR,Korea,13.0,227.7500,POINTS,,66.7585,7
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---EGY01,Egypt,Team,EGY,Egypt,14.0,225.6541,POINTS,,68.8544,4
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---AUS01,Australia,Team,AUS,Australia,15.0,198.0271,POINTS,,96.4814,3
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---FRA01,France,Team,FRA,France,16.0,189.0687,POINTS,,105.4398,1
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL-000100--,SWAWTEAM2,Duet,Duet Free Routine,Free Routine,W,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM2---NZL01,New Zealand,Team,NZL,New Zealand,17.0,166.5105,POINTS,,127.9980,2
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---CHN01,People's Republic of China,Team,CHN,China,1.0,566.4783,POINTS,,,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---GBR01,Great Britain,Team,GBR,Great Britain,2.0,558.5367,POINTS,,7.9416,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---NED01,Netherlands,Team,NED,Netherlands,3.0,558.3963,POINTS,,8.0820,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---AUT01,Austria,Team,AUT,Austria,4.0,555.6678,POINTS,,10.8105,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---UKR01,Ukraine,Team,UKR,Ukraine,5.0,538.6684,POINTS,,27.8099,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---GRE01,Greece,Team,GRE,Greece,6.0,532.3002,POINTS,,34.1781,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---ESP01,Spain,Team,ESP,Spain,7.0,521.4837,POINTS,,44.9946,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---JPN01,Japan,Team,JPN,Japan,8.0,507.0804,POINTS,,59.3979,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---CAN01,Canada,Team,CAN,Canada,9.0,492.4270,POINTS,,74.0513,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---USA01,United States of America,Team,USA,United States,10.0,484.7488,POINTS,,81.7295,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---ISR01,Israel,Team,ISR,Israel,11.0,482.4082,POINTS,,84.0701,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---MEX01,Mexico,Team,MEX,Mexico,12.0,471.5946,POINTS,,94.8837,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---KOR01,Republic of Korea,Team,KOR,Korea,13.0,455.3167,POINTS,,111.1616,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---FRA01,France,Team,FRA,France,14.0,430.3803,POINTS,,136.0980,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---EGY01,Egypt,Team,EGY,Egypt,15.0,422.1791,POINTS,,144.2992,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---AUS01,Australia,Team,AUS,Australia,16.0,408.1053,POINTS,,158.3730,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---NZL01,New Zealand,Team,NZL,New Zealand,17.0,354.6006,POINTS,,211.8777,
2024-08-10T21:51:39+02:00,SWAWTEAM2-------------FNL---------,SWAWTEAM2,Duet,Duet Final,Final Results,W,Artistic Swimming,SWA,,SWAWTEAM2---ITA01,Italy,Team,ITA,Italy,,,,,,
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CHN01,People's Republic of China,Team,CHN,China,1.0,313.5538,POINTS,,,10
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ESP01,Spain,Team,ESP,Spain,2.0,287.1475,POINTS,,26.4063,9
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---JPN01,Japan,Team,JPN,Japan,3.0,284.9017,POINTS,,28.6521,8
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---USA01,United States of America,Team,USA,United States,4.0,282.7567,POINTS,,30.7971,7
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ITA01,Italy,Team,ITA,Italy,5.0,277.8304,POINTS,,35.7234,6
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---FRA01,France,Team,FRA,France,6.0,277.7925,POINTS,,35.7613,2
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CAN01,Canada,Team,CAN,Canada,7.0,262.4808,POINTS,,51.0730,4
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---MEX01,Mexico,Team,MEX,Mexico,8.0,242.9491,POINTS,,70.6047,5
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---EGY01,Egypt,Team,EGY,Egypt,9.0,242.7651,POINTS,,70.7887,1
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---AUS01,Australia,Team,AUS,Australia,10.0,235.9071,POINTS,,77.6467,3
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CHN01,People's Republic of China,Team,CHN,China,1.0,398.8917,POINTS,,,10
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---USA01,United States of America,Team,USA,United States,2.0,360.2688,POINTS,,38.6229,8
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---MEX01,Mexico,Team,MEX,Mexico,3.0,347.3874,POINTS,,51.5043,6
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ESP01,Spain,Team,ESP,Spain,4.0,346.4644,POINTS,,52.4273,7
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CAN01,Canada,Team,CAN,Canada,5.0,343.6854,POINTS,,55.2063,5
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---JPN01,Japan,Team,JPN,Japan,6.0,343.0291,POINTS,,55.8626,9
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---FRA01,France,Team,FRA,France,7.0,340.0561,POINTS,,58.8356,1
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ITA01,Italy,Team,ITA,Italy,8.0,326.1500,POINTS,,72.7417,4
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---AUS01,Australia,Team,AUS,Australia,9.0,280.5521,POINTS,,118.3396,3
2024-08-06T21:27:51+02:00,SWAOTEAM8-------------FNL-000200--,SWAOTEAM8,Team,Team Free Routine,Free Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---EGY01,Egypt,Team,EGY,Egypt,10.0,243.9896,POINTS,,154.9021,2
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CHN01,People's Republic of China,Team,CHN,China,1.0,283.6934,POINTS,,,10
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---USA01,United States of America,Team,USA,United States,2.0,271.3166,POINTS,,12.3768,9
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---FRA01,France,Team,FRA,France,3.0,268.8001,POINTS,,14.8933,3
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ESP01,Spain,Team,ESP,Spain,4.0,267.1200,POINTS,,16.5734,5
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---MEX01,Mexico,Team,MEX,Mexico,5.0,263.4567,POINTS,,20.2367,8
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CAN01,Canada,Team,CAN,Canada,6.0,253.0567,POINTS,,30.6367,6
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---JPN01,Japan,Team,JPN,Japan,7.0,252.7533,POINTS,,30.9401,7
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ITA01,Italy,Team,ITA,Italy,8.0,241.9866,POINTS,,41.7068,4
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---EGY01,Egypt,Team,EGY,Egypt,9.0,219.2267,POINTS,,64.4667,2
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL-000100--,SWAOTEAM8,Team,Team Acrobatic Routine,Acrobatic Routine,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---AUS01,Australia,Team,AUS,Australia,10.0,211.9766,POINTS,,71.7168,1
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---CHN01,People's Republic of China,Team,CHN,China,1.0,996.1389,POINTS,,,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---USA01,United States of America,Team,USA,United States,2.0,914.3421,POINTS,,81.7968,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---ESP01,Spain,Team,ESP,Spain,3.0,900.7319,POINTS,,95.4070,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---FRA01,France,Team,FRA,France,4.0,886.6487,POINTS,,109.4902,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---JPN01,Japan,Team,JPN,Japan,5.0,880.6841,POINTS,,115.4548,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---CAN01,Canada,Team,CAN,Canada,6.0,859.2229,POINTS,,136.9160,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---MEX01,Mexico,Team,MEX,Mexico,7.0,853.7932,POINTS,,142.3457,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---ITA01,Italy,Team,ITA,Italy,8.0,845.9670,POINTS,,150.1719,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---AUS01,Australia,Team,AUS,Australia,9.0,728.4358,POINTS,,267.7031,
2024-08-07T20:35:37+02:00,SWAOTEAM8-------------FNL---------,SWAOTEAM8,Team,Team Final,Final Results,O,Artistic Swimming,SWA,,SWAWTEAM8---EGY01,Egypt,Team,EGY,Egypt,10.0,705.9814,POINTS,,290.1575,
