date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,start_order
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----CHN01,People's Republic of China,Team,CHN,China,,35.500,POINTS,,1
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AZE01,Azerbaijan,Team,AZE,Azerbaijan,,33.850,POINTS,,2
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UKR01,Ukraine,Team,UKR,Ukraine,,35.450,POINTS,,3
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----GER01,Germany,Team,GER,Germany,,33.700,POINTS,,4
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BUL01,Bulgaria,Team,BUL,Bulgaria,,37.700,POINTS,,5
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----MEX01,Mexico,Team,MEX,Mexico,,29.700,POINTS,,6
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----FRA01,France,Team,FRA,France,,36.600,POINTS,,7
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BRA01,Brazil,Team,BRA,Brazil,,35.950,POINTS,,8
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ESP01,Spain,Team,ESP,Spain,,30.400,POINTS,,9
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UZB01,Uzbekistan,Team,UZB,Uzbekistan,,33.550,POINTS,,10
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----EGY01,Egypt,Team,EGY,Egypt,,30.850,POINTS,,11
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ITA01,Italy,Team,ITA,Italy,,38.200,POINTS,,12
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AUS01,Australia,Team,AUS,Australia,,31.400,POINTS,,13
2024-08-09T11:36:03+02:00,GRYW5AA---------------QUALA0000101,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 1 of 2,Qualification - Part 1 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ISR01,Israel,Team,ISR,Israel,,35.250,POINTS,,14
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----CHN01,People's Republic of China,Team,CHN,China,,32.400,POINTS,,1
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AZE01,Azerbaijan,Team,AZE,Azerbaijan,,28.150,POINTS,,2
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UKR01,Ukraine,Team,UKR,Ukraine,,33.500,POINTS,,3
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----GER01,Germany,Team,GER,Germany,,23.650,POINTS,,4
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BUL01,Bulgaria,Team,BUL,Bulgaria,,32.700,POINTS,,5
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----MEX01,Mexico,Team,MEX,Mexico,,27.800,POINTS,,6
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----FRA01,France,Team,FRA,France,,32.200,POINTS,,7
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BRA01,Brazil,Team,BRA,Brazil,,24.950,POINTS,,8
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ESP01,Spain,Team,ESP,Spain,,30.000,POINTS,,9
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UZB01,Uzbekistan,Team,UZB,Uzbekistan,,30.450,POINTS,,10
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----EGY01,Egypt,Team,EGY,Egypt,,25.050,POINTS,,11
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ITA01,Italy,Team,ITA,Italy,,31.150,POINTS,,12
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AUS01,Australia,Team,AUS,Australia,,27.050,POINTS,,13
2024-08-09T13:05:28+02:00,GRYW5AA---------------QUALA0000102,GRYW5AA,Group All-Around,Group All-Around Qualification - Part 2 of 2,Qualification - Part 2 of 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ISR01,Israel,Team,ISR,Israel,,31.900,POINTS,,14
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----FRA01,France,Team,FRA,France,,35.750,POINTS,,1
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AZE01,Azerbaijan,Team,AZE,Azerbaijan,,34.850,POINTS,,2
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UKR01,Ukraine,Team,UKR,Ukraine,,36.550,POINTS,,3
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UZB01,Uzbekistan,Team,UZB,Uzbekistan,,34.050,POINTS,,4
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----CHN01,People's Republic of China,Team,CHN,China,,36.950,POINTS,,5
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BUL01,Bulgaria,Team,BUL,Bulgaria,,34.100,POINTS,,6
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ITA01,Italy,Team,ITA,Italy,,36.100,POINTS,,7
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000101,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 1,Final - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ISR01,Israel,Team,ISR,Israel,,35.600,POINTS,,8
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----FRA01,France,Team,FRA,France,,30.250,POINTS,,1
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----AZE01,Azerbaijan,Team,AZE,Azerbaijan,,31.600,POINTS,,2
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UKR01,Ukraine,Team,UKR,Ukraine,,29.150,POINTS,,3
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----UZB01,Uzbekistan,Team,UZB,Uzbekistan,,30.450,POINTS,,4
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----CHN01,People's Republic of China,Team,CHN,China,,32.850,POINTS,,5
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----BUL01,Bulgaria,Team,BUL,Bulgaria,,33.700,POINTS,,6
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ITA01,Italy,Team,ITA,Italy,,32.000,POINTS,,7
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL-A0000102,GRYW5AA,Group All-Around,Group All-Around Final - Rotation 2,Final - Rotation 2,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,GRYW5AA-----ISR01,Israel,Team,ISR,Israel,,33.250,POINTS,,8
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----CHN01,People's Republic of China,Team,CHN,China,1.0,69.800,POINTS,,
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----ISR01,Israel,Team,ISR,Israel,2.0,68.850,POINTS,0.950,
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----ITA01,Italy,Team,ITA,Italy,3.0,68.100,POINTS,1.700,
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----BUL01,Bulgaria,Team,BUL,Bulgaria,4.0,67.800,POINTS,2.000,
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----AZE01,Azerbaijan,Team,AZE,Azerbaijan,5.0,66.450,POINTS,3.350,
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----FRA01,France,Team,FRA,France,6.0,66.000,POINTS,3.800,
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----UKR01,Ukraine,Team,UKR,Ukraine,7.0,65.700,POINTS,4.100,
2024-08-10T15:58:14+02:00,GRYW5AA---------------FNL---------,GRYW5AA,Group All-Around,Group All-Around Final,Final Results,W,Rhythmic Gymnastics,GRY,,GRYW5AA-----UZB01,Uzbekistan,Team,UZB,Uzbekistan,8.0,64.500,POINTS,5.300,
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1959810,GRISKENAS Evita,Person,USA,United States,,30.500,POINTS,,1
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1958422,PHILAPHANDETH Praewa Misato,Person,LAO,Lao PDR,,21.600,POINTS,,2
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1555070,TUGOLUKOVA Vera,Person,CYP,Cyprus,,31.150,POINTS,,3
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1880542,IKROMOVA Takhmina,Person,UZB,Uzbekistan,,32.350,POINTS,,4
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1978492,SALEH Aliaa,Person,EGY,Egypt,,28.700,POINTS,,5
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548948,KALEYN Boryana,Person,BUL,Bulgaria,,34.600,POINTS,,6
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548933,NIKOLOVA Stiliana,Person,BUL,Bulgaria,,33.900,POINTS,,7
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1941726,KIROI-BOGATYREVA Alexandra,Person,AUS,Australia,,28.550,POINTS,,8
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1891438,PIGNICZKI Fanni,Person,HUN,Hungary,,32.650,POINTS,,9
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1972352,AGHAMIROVA Zohra,Person,AZE,Azerbaijan,,30.200,POINTS,,10
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1923694,RAFFAELI Sofia,Person,ITA,Italy,,35.700,POINTS,,11
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1896230,VARFOLOMEEV Darja,Person,GER,Germany,,36.450,POINTS,,12
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1929613,TANIYEVA Elzhana,Person,KAZ,Kazakhstan,,30.850,POINTS,,13
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1935794,BAUTISTA Alba,Person,ESP,Spain,,28.100,POINTS,,14
